format,level,variable,target,iskey
nmdbioticv1.1,fishstation,serialno,Haul,
nmdbioticv1.1,fishstation,nation,Haul,
nmdbioticv1.1,fishstation,platform.fishstation,Haul,
nmdbioticv1.1,fishstation,station,Haul,
nmdbioticv1.1,fishstation,fixedstation,Haul,
nmdbioticv1.1,fishstation,startdate.fishstation,Haul,
nmdbioticv1.1,fishstation,starttime,Haul,
nmdbioticv1.1,fishstation,stopdate.fishstation,Haul,
nmdbioticv1.1,fishstation,stoptime,Haul,
nmdbioticv1.1,fishstation,stationtype,Haul,
nmdbioticv1.1,fishstation,latitudestart,Haul,
nmdbioticv1.1,fishstation,longitudestart,Haul,
nmdbioticv1.1,fishstation,latitudeend,Haul,
nmdbioticv1.1,fishstation,longitudeend,Haul,
nmdbioticv1.1,fishstation,system,Haul,
nmdbioticv1.1,fishstation,area,Haul,
nmdbioticv1.1,fishstation,location,Haul,
nmdbioticv1.1,fishstation,bottomdepthstart,Haul,
nmdbioticv1.1,fishstation,bottomdepthstop,Haul,
nmdbioticv1.1,fishstation,fishingdepthmax,Haul,
nmdbioticv1.1,fishstation,fishingdepthmin,Haul,
nmdbioticv1.1,fishstation,fishingdepthmean,Haul,
nmdbioticv1.1,fishstation,gearno,Haul,
nmdbioticv1.1,fishstation,gear,Haul,
nmdbioticv1.1,fishstation,gearcount,Haul,
nmdbioticv1.1,fishstation,direction,Haul,
nmdbioticv1.1,fishstation,gearspeed,Haul,
nmdbioticv1.1,fishstation,startlog,Haul,
nmdbioticv1.1,fishstation,stoplog,Haul,
nmdbioticv1.1,fishstation,distance,Haul,
nmdbioticv1.1,fishstation,gearcondition,Haul,
nmdbioticv1.1,fishstation,trawlquality,Haul,
nmdbioticv1.1,fishstation,trawlopening,Haul,
nmdbioticv1.1,fishstation,trawlopeningsd,Haul,
nmdbioticv1.1,fishstation,doorspread,Haul,
nmdbioticv1.1,fishstation,doorspreadsd,Haul,
nmdbioticv1.1,fishstation,wirelength,Haul,
nmdbioticv1.1,fishstation,soaktime,Haul,
nmdbioticv1.1,fishstation,tripno,Haul,
nmdbioticv1.1,fishstation,fishabundance,Haul,
nmdbioticv1.1,fishstation,fishdistribution,Haul,
nmdbioticv1.1,fishstation,landingsite,Haul,
nmdbioticv1.1,fishstation,fishingground,Haul,
nmdbioticv1.1,fishstation,countofvessels,Haul,
nmdbioticv1.1,fishstation,dataquality,Haul,
nmdbioticv1.1,fishstation,haulvalidity,Haul,
nmdbioticv1.1,fishstation,flora,Haul,
nmdbioticv1.1,fishstation,vegetationcover,Haul,
nmdbioticv1.1,fishstation,visibility,Haul,
nmdbioticv1.1,fishstation,flowcount,Haul,
nmdbioticv1.1,fishstation,flowconst,Haul,
nmdbioticv1.1,fishstation,comment,Haul,
nmdbioticv1.1,catchsample,species,Sample,
nmdbioticv1.1,catchsample,samplenumber,Sample,
nmdbioticv1.1,catchsample,noname,Sample,
nmdbioticv1.1,catchsample,aphia,Sample,
nmdbioticv1.1,catchsample,sampletype,Sample,
nmdbioticv1.1,catchsample,group,Sample,
nmdbioticv1.1,catchsample,conservation,Sample,
nmdbioticv1.1,catchsample,producttype,Sample,
nmdbioticv1.1,catchsample,weight,Sample,
nmdbioticv1.1,catchsample,volume,Sample,
nmdbioticv1.1,catchsample,count,Sample,
nmdbioticv1.1,catchsample,abundancecategory,Sample,
nmdbioticv1.1,catchsample,sampleproducttype,Sample,
nmdbioticv1.1,catchsample,lengthmeasurement,Sample,
nmdbioticv1.1,catchsample,lengthsampleweight,Sample,
nmdbioticv1.1,catchsample,lengthsamplevolume,Sample,
nmdbioticv1.1,catchsample,lengthsamplecount,Sample,
nmdbioticv1.1,catchsample,specimensamplecount,Sample,
nmdbioticv1.1,catchsample,raisingfactor,Sample,
nmdbioticv1.1,catchsample,agingstructure,Sample,
nmdbioticv1.1,catchsample,parasite,Sample,
nmdbioticv1.1,catchsample,stomach,Sample,
nmdbioticv1.1,catchsample,genetics,Sample,
nmdbioticv1.1,catchsample,foreignobject,Sample,
nmdbioticv1.1,catchsample,comment.catchsample,Sample,
