format,level,variable,target,iskey
nmdbioticv1.1,fishstation,serialno,Station,
nmdbioticv1.1,fishstation,nation,Station,
nmdbioticv1.1,fishstation,platform.fishstation,Station,
nmdbioticv1.1,fishstation,station,Station,
nmdbioticv1.1,fishstation,fixedstation,Station,
nmdbioticv1.1,fishstation,startdate.fishstation,Station,
nmdbioticv1.1,fishstation,starttime,Station,
nmdbioticv1.1,fishstation,stopdate.fishstation,Station,
nmdbioticv1.1,fishstation,stoptime,Station,
nmdbioticv1.1,fishstation,stationtype,Station,
nmdbioticv1.1,fishstation,latitudestart,Station,
nmdbioticv1.1,fishstation,longitudestart,Station,
nmdbioticv1.1,fishstation,latitudeend,Station,
nmdbioticv1.1,fishstation,longitudeend,Station,
nmdbioticv1.1,fishstation,system,Station,
nmdbioticv1.1,fishstation,area,Station,
nmdbioticv1.1,fishstation,location,Station,
nmdbioticv1.1,fishstation,bottomdepthstart,Station,
nmdbioticv1.1,fishstation,bottomdepthstop,Station,
nmdbioticv1.1,fishstation,fishingdepthmax,Station,
nmdbioticv1.1,fishstation,fishingdepthmin,Station,
nmdbioticv1.1,fishstation,fishingdepthmean,Station,
nmdbioticv1.1,fishstation,gearno,Station,
nmdbioticv1.1,fishstation,gear,Station,
nmdbioticv1.1,fishstation,gearcount,Station,
nmdbioticv1.1,fishstation,direction,Station,
nmdbioticv1.1,fishstation,gearspeed,Station,
nmdbioticv1.1,fishstation,startlog,Station,
nmdbioticv1.1,fishstation,stoplog,Station,
nmdbioticv1.1,fishstation,distance,Station,
nmdbioticv1.1,fishstation,gearcondition,Station,
nmdbioticv1.1,fishstation,trawlquality,Station,
nmdbioticv1.1,fishstation,trawlopening,Station,
nmdbioticv1.1,fishstation,trawlopeningsd,Station,
nmdbioticv1.1,fishstation,doorspread,Station,
nmdbioticv1.1,fishstation,doorspreadsd,Station,
nmdbioticv1.1,fishstation,wirelength,Station,
nmdbioticv1.1,fishstation,soaktime,Station,
nmdbioticv1.1,fishstation,tripno,Station,
nmdbioticv1.1,fishstation,fishabundance,Station,
nmdbioticv1.1,fishstation,fishdistribution,Station,
nmdbioticv1.1,fishstation,landingsite,Station,
nmdbioticv1.1,fishstation,fishingground,Station,
nmdbioticv1.1,fishstation,countofvessels,Station,
nmdbioticv1.1,fishstation,dataquality,Station,
nmdbioticv1.1,fishstation,haulvalidity,Station,
nmdbioticv1.1,fishstation,flora,Station,
nmdbioticv1.1,fishstation,vegetationcover,Station,
nmdbioticv1.1,fishstation,visibility,Station,
nmdbioticv1.1,fishstation,flowcount,Station,
nmdbioticv1.1,fishstation,flowconst,Station,
nmdbioticv1.1,fishstation,comment,Station,
nmdbioticv1.1,catchsample,species,SpeciesCategory,
nmdbioticv1.1,catchsample,samplenumber,SpeciesCategory,
nmdbioticv1.1,catchsample,noname,SpeciesCategory,
nmdbioticv1.1,catchsample,aphia,SpeciesCategory,
nmdbioticv1.1,catchsample,sampletype,SpeciesCategory,
nmdbioticv1.1,catchsample,group,SpeciesCategory,
nmdbioticv1.1,catchsample,conservation,SpeciesCategory,
nmdbioticv1.1,catchsample,producttype,SpeciesCategory,
nmdbioticv1.1,catchsample,weight,SpeciesCategory,
nmdbioticv1.1,catchsample,volume,SpeciesCategory,
nmdbioticv1.1,catchsample,count,SpeciesCategory,
nmdbioticv1.1,catchsample,abundancecategory,SpeciesCategory,
nmdbioticv1.1,catchsample,sampleproducttype,SpeciesCategory,
nmdbioticv1.1,catchsample,lengthmeasurement,SpeciesCategory,
nmdbioticv1.1,catchsample,lengthsampleweight,SpeciesCategory,
nmdbioticv1.1,catchsample,lengthsamplevolume,SpeciesCategory,
nmdbioticv1.1,catchsample,lengthsamplecount,SpeciesCategory,
nmdbioticv1.1,catchsample,specimensamplecount,SpeciesCategory,
nmdbioticv1.1,catchsample,raisingfactor,SpeciesCategory,
nmdbioticv1.1,catchsample,agingstructure,SpeciesCategory,
nmdbioticv1.1,catchsample,parasite,SpeciesCategory,
nmdbioticv1.1,catchsample,stomach,SpeciesCategory,
nmdbioticv1.1,catchsample,genetics,SpeciesCategory,
nmdbioticv1.1,catchsample,foreignobject,SpeciesCategory,
nmdbioticv1.1,catchsample,comment.catchsample,SpeciesCategory,
