format,level,variable,target,iskey
nmdbioticv3.1,fishstation,serialnumber,Station,
nmdbioticv3.1,fishstation,nation,Station,
nmdbioticv3.1,fishstation,catchplatform,Station,
nmdbioticv3.1,fishstation,station,Station,
nmdbioticv3.1,fishstation,fixedstation,Station,
nmdbioticv3.1,fishstation,stationstartdate,Station,
nmdbioticv3.1,fishstation,stationstarttime,Station,
nmdbioticv3.1,fishstation,stationstopdate,Station,
nmdbioticv3.1,fishstation,stationstoptime,Station,
nmdbioticv3.1,fishstation,stationtype,Station,
nmdbioticv3.1,fishstation,latitudestart,Station,
nmdbioticv3.1,fishstation,longitudestart,Station,
nmdbioticv3.1,fishstation,latitudeend,Station,
nmdbioticv3.1,fishstation,longitudeend,Station,
nmdbioticv3.1,fishstation,system,Station,
nmdbioticv3.1,fishstation,area,Station,
nmdbioticv3.1,fishstation,location,Station,
nmdbioticv3.1,fishstation,bottomdepthstart,Station,
nmdbioticv3.1,fishstation,bottomdepthstop,Station,
nmdbioticv3.1,fishstation,bottomdepthmean,Station,
nmdbioticv3.1,fishstation,fishingdepthstart,Haul,
nmdbioticv3.1,fishstation,fishingdepthstop,Haul,
nmdbioticv3.1,fishstation,fishingdepthcount,Haul,
nmdbioticv3.1,fishstation,fishingdepthmax,Haul,
nmdbioticv3.1,fishstation,fishingdepthmin,Haul,
nmdbioticv3.1,fishstation,fishingdepthmean,Haul,
nmdbioticv3.1,fishstation,fishingdepthtemperature,Haul,
nmdbioticv3.1,fishstation,fishingbait,Haul,
nmdbioticv3.1,fishstation,gearno,Haul,
nmdbioticv3.1,fishstation,sweeplength,Haul,
nmdbioticv3.1,fishstation,gear,Haul,
nmdbioticv3.1,fishstation,gearcount,Haul,
nmdbioticv3.1,fishstation,direction,Haul,
nmdbioticv3.1,fishstation,gearflow,Haul,
nmdbioticv3.1,fishstation,vesselspeed,Haul,
nmdbioticv3.1,fishstation,logstart,Station,
nmdbioticv3.1,fishstation,logstop,Station,
nmdbioticv3.1,fishstation,distance,Haul,
nmdbioticv3.1,fishstation,gearcondition,Haul,
nmdbioticv3.1,fishstation,samplequality,Haul,
nmdbioticv3.1,fishstation,verticaltrawlopening,Haul,
nmdbioticv3.1,fishstation,verticaltrawlopeningsd,Haul,
nmdbioticv3.1,fishstation,trawldoortype,Haul,
nmdbioticv3.1,fishstation,trawldoorarea,Haul,
nmdbioticv3.1,fishstation,trawldoorweight,Haul,
nmdbioticv3.1,fishstation,trawldoorspread,Haul,
nmdbioticv3.1,fishstation,trawldoorspreadsd,Haul,
nmdbioticv3.1,fishstation,wingspread,Haul,
nmdbioticv3.1,fishstation,wingspreadsd,Haul,
nmdbioticv3.1,fishstation,wirelength,Haul,
nmdbioticv3.1,fishstation,wirediameter,Haul,
nmdbioticv3.1,fishstation,wiredensity,Haul,
nmdbioticv3.1,fishstation,soaktime,Haul,
nmdbioticv3.1,fishstation,tripno,Station,
nmdbioticv3.1,fishstation,fishabundance,Station,
nmdbioticv3.1,fishstation,fishdistribution,Station,
nmdbioticv3.1,fishstation,landingsite,Station,
nmdbioticv3.1,fishstation,fishingground,Station,
nmdbioticv3.1,fishstation,vesselcount,Station,
nmdbioticv3.1,fishstation,dataquality,Haul,
nmdbioticv3.1,fishstation,haulvalidity,Haul,
nmdbioticv3.1,fishstation,flora,Station,
nmdbioticv3.1,fishstation,vegetationcover,Station,
nmdbioticv3.1,fishstation,visibility,Station,
nmdbioticv3.1,fishstation,waterlevel,Station,
nmdbioticv3.1,fishstation,winddirection,Station,
nmdbioticv3.1,fishstation,windspeed,Station,
nmdbioticv3.1,fishstation,clouds,Station,
nmdbioticv3.1,fishstation,sea,Station,
nmdbioticv3.1,fishstation,weather,Station,
nmdbioticv3.1,fishstation,stationcomment,Station,
nmdbioticv3.1,catchsample,commonname,SpeciesCategory,
nmdbioticv3.1,catchsample,catchcategory,SpeciesCategory,
nmdbioticv3.1,catchsample,catchpartnumber,Sample,
nmdbioticv3.1,catchsample,aphia,SpeciesCategory,
nmdbioticv3.1,catchsample,scientificname,SpeciesCategory,
nmdbioticv3.1,catchsample,identification,SpeciesCategory,
nmdbioticv3.1,catchsample,foreignobject,SpeciesCategory,
nmdbioticv3.1,catchsample,sampletype,Sample,
nmdbioticv3.1,catchsample,group,Sample,
nmdbioticv3.1,catchsample,conservation,Sample,
nmdbioticv3.1,catchsample,catchproducttype,Sample,
nmdbioticv3.1,catchsample,raisingfactor,Sample,
nmdbioticv3.1,catchsample,catchweight,Sample,
nmdbioticv3.1,catchsample,catchvolume,Sample,
nmdbioticv3.1,catchsample,catchcount,Sample,
nmdbioticv3.1,catchsample,abundancecategory,Sample,
nmdbioticv3.1,catchsample,sampleproducttype,Sample,
nmdbioticv3.1,catchsample,lengthmeasurement,Sample,
nmdbioticv3.1,catchsample,lengthsampleweight,Sample,
nmdbioticv3.1,catchsample,lengthsamplevolume,Sample,
nmdbioticv3.1,catchsample,lengthsamplecount,Sample,
nmdbioticv3.1,catchsample,specimensamplecount,Sample,
nmdbioticv3.1,catchsample,agesamplecount,Sample,
nmdbioticv3.1,catchsample,agingstructure,Sample,
nmdbioticv3.1,catchsample,parasite,Sample,
nmdbioticv3.1,catchsample,stomach,Sample,
nmdbioticv3.1,catchsample,intestine,Sample,
nmdbioticv3.1,catchsample,tissuesample,Sample,
nmdbioticv3.1,catchsample,samplerecipient,Sample,
nmdbioticv3.1,catchsample,catchcomment,Sample,
nmdbioticv3.1,catchsample,catchsampleid,Sample,
